"FullName","Name","Parent","Depth","LastWrite","ChildDirs","ChildFiles"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","Fallout New Vegas","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","5","30/04/2022 18:39:28","3","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Default","Default","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","6","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas","6","30/04/2022 18:39:28","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout New Vegas\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion","Oblivion","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","5","30/04/2022 18:39:28","2","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets","7","30/04/2022 18:39:28","0","1"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim","Skyrim","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","5","30/04/2022 18:39:28","3","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition","Skyrim Special Edition","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets","5","30/04/2022 18:39:28","2","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets","BethINI-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition","6","30/04/2022 18:39:28","5","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\low","low","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\medium","medium","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\poor","poor","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\ultra","ultra","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets","7","30/04/2022 18:39:28","0","2"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets","Vanilla-Presets","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition","6","30/04/2022 18:39:28","4","0"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\high","high","G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets","7","30/04/2022 18:39:28","0","2"
