"FullName","Kind","SizeBytes","LastWrite"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 3\Vanilla-Presets\ultra\FalloutPrefs.ini","Archivo","1001","2016-06-24 11:01:10"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\high\Fallout4.ini","Archivo","512","2022-04-30 18:05:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\high\Fallout4Prefs.ini","Archivo","1248","2022-04-30 18:14:10"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\low\Fallout4.ini","Archivo","511","2022-02-26 10:07:56"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\low\Fallout4Prefs.ini","Archivo","1237","2022-04-30 18:14:02"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\medium\Fallout4.ini","Archivo","512","2022-04-30 09:26:00"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\medium\Fallout4Prefs.ini","Archivo","1240","2022-04-30 18:14:06"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\poor","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\poor\Fallout4.ini","Archivo","508","2022-04-30 18:07:22"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\poor\Fallout4Prefs.ini","Archivo","1223","2022-04-30 18:14:00"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\ultra\Fallout4.ini","Archivo","514","2022-04-30 18:05:24"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\BethINI-Presets\ultra\Fallout4Prefs.ini","Archivo","1251","2022-04-30 18:14:14"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Fallout4.ini","Archivo","71336","2019-02-25 23:14:56"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Fallout4Prefs.ini","Archivo","4667","2019-02-25 23:16:04"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\high\Fallout4.ini","Archivo","514","2022-02-26 10:04:52"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\high\Fallout4Prefs.ini","Archivo","1259","2022-02-26 10:42:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Fallout 4\Vanilla-Presets\low\Fallout4.ini","Archivo","514","2022-02-26 10:05:02"
